AeroDyn airfoil file Created with QBlade v0.9 64bit on 10.07.2015 at 14:53:47 Compatible with AeroDyn v13.0.
Polar "NACA 0018_Imported_Polar 360 M" on Foil "NACA 0018_Imported_Polar" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.25873        Cn slope for zero lift for linear Cn curve (1/rad)
1.1476         Cn at stall value for positive angle of attack for linear Cn curve
-1.0842        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0071         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0853    0.0065
   -178.00    0.1639    0.0080
   -177.00    0.2296    0.0106
   -176.00    0.2779    0.0141
   -175.00    0.3094    0.0187
   -174.00    0.3290    0.0242
   -173.00    0.3427    0.0308
   -172.00    0.3550    0.0383
   -171.00    0.3681    0.0468
   -170.00    0.3831    0.0563
   -169.00    0.3999    0.0668
   -168.00    0.4184    0.0781
   -167.00    0.4382    0.0904
   -166.00    0.4589    0.1037
   -165.00    0.4802    0.1178
   -164.00    0.5019    0.1328
   -163.00    0.5236    0.1486
   -162.00    0.5452    0.1653
   -161.00    0.5666    0.1829
   -160.00    0.5876    0.2012
   -159.00    0.6082    0.2203
   -158.00    0.6282    0.2402
   -157.00    0.6475    0.2607
   -156.00    0.6661    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7010    0.3267
   -153.00    0.7171    0.3499
   -152.00    0.7323    0.3738
   -151.00    0.7466    0.3982
   -150.00    0.7600    0.4232
   -149.00    0.7723    0.4486
   -148.00    0.7836    0.4746
   -147.00    0.7939    0.5010
   -146.00    0.8031    0.5278
   -145.00    0.8112    0.5550
   -144.00    0.8182    0.5825
   -143.00    0.8242    0.6103
   -142.00    0.8290    0.6385
   -141.00    0.8327    0.6668
   -140.00    0.8353    0.6954
   -139.00    0.8367    0.7242
   -138.00    0.8370    0.7531
   -137.00    0.8362    0.7821
   -136.00    0.8343    0.8112
   -135.00    0.8312    0.8403
   -134.00    0.8270    0.8694
   -133.00    0.8217    0.8985
   -132.00    0.8154    0.9275
   -131.00    0.8079    0.9564
   -130.00    0.7994    0.9852
   -129.00    0.7898    1.0138
   -128.00    0.7791    1.0421
   -127.00    0.7674    1.0703
   -126.00    0.7548    1.0981
   -125.00    0.7411    1.1256
   -124.00    0.7265    1.1528
   -123.00    0.7109    1.1796
   -122.00    0.6944    1.2060
   -121.00    0.6770    1.2320
   -120.00    0.6587    1.2575
   -119.00    0.6396    1.2824
   -118.00    0.6197    1.3068
   -117.00    0.5990    1.3307
   -116.00    0.5775    1.3539
   -115.00    0.5554    1.3766
   -114.00    0.5325    1.3986
   -113.00    0.5089    1.4199
   -112.00    0.4839    1.4404
   -111.00    0.4591    1.4603
   -110.00    0.4338    1.4794
   -109.00    0.4080    1.4977
   -108.00    0.3817    1.5153
   -107.00    0.3550    1.5320
   -106.00    0.3278    1.5478
   -105.00    0.3002    1.5628
   -104.00    0.2723    1.5769
   -103.00    0.2441    1.5902
   -102.00    0.2156    1.6025
   -101.00    0.1869    1.6138
   -100.00    0.1580    1.6243
    -99.00    0.1289    1.6338
    -98.00    0.0997    1.6423
    -97.00    0.0704    1.6498
    -96.00    0.0411    1.6564
    -95.00    0.0118    1.6619
    -94.00   -0.0175    1.6665
    -93.00   -0.0468    1.6700
    -92.00   -0.0759    1.6726
    -91.00   -0.1049    1.6741
    -90.00   -0.1338    1.6746
    -89.00   -0.1624    1.6741
    -88.00   -0.1908    1.6725
    -87.00   -0.2190    1.6700
    -86.00   -0.2468    1.6665
    -85.00   -0.2743    1.6619
    -84.00   -0.3014    1.6563
    -83.00   -0.3282    1.6498
    -82.00   -0.3545    1.6422
    -81.00   -0.3803    1.6337
    -80.00   -0.4057    1.6242
    -79.00   -0.4305    1.6138
    -78.00   -0.4548    1.6024
    -77.00   -0.4786    1.5901
    -76.00   -0.5017    1.5769
    -75.00   -0.5242    1.5628
    -74.00   -0.5461    1.5478
    -73.00   -0.5673    1.5319
    -72.00   -0.5878    1.5152
    -71.00   -0.6077    1.4977
    -70.00   -0.6268    1.4793
    -69.00   -0.6451    1.4602
    -68.00   -0.6627    1.4404
    -67.00   -0.6795    1.4198
    -66.00   -0.6955    1.3985
    -65.00   -0.7107    1.3765
    -64.00   -0.7251    1.3539
    -63.00   -0.7386    1.3306
    -62.00   -0.7513    1.3067
    -61.00   -0.7631    1.2823
    -60.00   -0.7741    1.2573
    -59.00   -0.7841    1.2319
    -58.00   -0.7933    1.2059
    -57.00   -0.8016    1.1795
    -56.00   -0.8090    1.1527
    -55.00   -0.8155    1.1255
    -54.00   -0.8211    1.0979
    -53.00   -0.8258    1.0701
    -52.00   -0.8295    1.0419
    -51.00   -0.8324    1.0135
    -50.00   -0.8343    0.9849
    -49.00   -0.8354    0.9562
    -48.00   -0.8355    0.9272
    -47.00   -0.8348    0.8982
    -46.00   -0.8331    0.8691
    -45.00   -0.8306    0.8400
    -44.00   -0.8271    0.8108
    -43.00   -0.8228    0.7817
    -42.00   -0.8177    0.7527
    -41.00   -0.8117    0.7237
    -40.00   -0.8048    0.6949
    -39.00   -0.7972    0.6663
    -38.00   -0.7887    0.6379
    -37.00   -0.7795    0.6097
    -36.00   -0.7695    0.5818
    -35.00   -0.7587    0.5542
    -34.00   -0.7472    0.5269
    -33.00   -0.7351    0.5000
    -32.00   -0.7223    0.4735
    -31.00   -0.7089    0.4475
    -30.00   -0.6949    0.4219
    -29.00   -0.6805    0.3967
    -28.00   -0.6657    0.3721
    -27.00   -0.6505    0.3480
    -26.00   -0.6353    0.3245
    -25.00   -0.6200    0.3015
    -24.00   -0.6050    0.2791
    -23.00   -0.5907    0.2572
    -22.00   -0.5775    0.2359
    -21.00   -0.5662    0.2152
    -20.00   -0.5580    0.1949
    -19.00   -0.5546    0.1749
    -18.00   -0.5588    0.1552
    -17.00   -0.5751    0.1354
    -16.00   -0.6103    0.1152
    -15.00   -0.6737    0.0943
    -14.00   -0.7741    0.0724
    -13.00   -0.9078    0.0507
    -12.00   -1.0376    0.0321
    -11.00   -1.1006    0.0202
    -10.00   -1.0984    0.0141
     -9.50   -1.0349    0.0133
     -9.00   -0.9711    0.0125
     -8.50   -0.9029    0.0118
     -8.00   -0.8459    0.0111
     -7.50   -0.7908    0.0105
     -7.00   -0.7411    0.0100
     -6.50   -0.6928    0.0095
     -6.00   -0.6427    0.0091
     -5.50   -0.5915    0.0087
     -5.00   -0.5396    0.0084
     -4.50   -0.4870    0.0081
     -4.00   -0.4338    0.0079
     -3.50   -0.3806    0.0077
     -3.00   -0.3269    0.0075
     -2.50   -0.2727    0.0074
     -2.00   -0.2184    0.0073
     -1.50   -0.1640    0.0072
     -1.00   -0.1093    0.0071
     -0.50   -0.0547    0.0071
      0.00    0.0000    0.0071
      0.50    0.0547    0.0071
      1.00    0.1094    0.0071
      1.50    0.1640    0.0072
