<<<<<<< HEAD
NACA 0018
 1.00000     0.00189
 0.99280     0.00340
 0.97989     0.00607
 0.96352     0.00940
 0.94455     0.01318
 0.92350     0.01727
 0.90075     0.02158
 0.87658     0.02603
 0.85123     0.03057
 0.82489     0.03515
 0.79774     0.03972
 0.76991     0.04426
 0.74154     0.04872
 0.71275     0.05308
 0.68365     0.05732
 0.65434     0.06140
 0.62492     0.06530
 0.59547     0.06901
 0.56607     0.07248
 0.53680     0.07571
 0.50774     0.07867
 0.47895     0.08133
 0.45050     0.08367
 0.42246     0.08568
 0.39488     0.08733
 0.36782     0.08860
 0.34135     0.08947
 0.31551     0.08994
 0.29035     0.09000
 0.26594     0.08962
 0.24231     0.08880
 0.21951     0.08755
 0.19760     0.08585
 0.17661     0.08372
 0.15660     0.08115
 0.13760     0.07816
 0.11965     0.07475
 0.10280     0.07094
 0.08709     0.06674
 0.07256     0.06218
 0.05924     0.05726
 0.04717     0.05201
 0.03639     0.04644
 0.02694     0.04058
 0.01885     0.03443
 0.01215     0.02803
 0.00688     0.02137
 0.00308     0.01448
 0.00078     0.00735
 0.00000     0.00000
 0.00078    -0.00735
 0.00308    -0.01448
 0.00688    -0.02137
 0.01215    -0.02803
 0.01885    -0.03443
 0.02694    -0.04058
 0.03639    -0.04644
 0.04717    -0.05201
 0.05924    -0.05726
 0.07256    -0.06218
 0.08709    -0.06674
 0.10280    -0.07094
 0.11965    -0.07475
 0.13760    -0.07816
 0.15660    -0.08115
 0.17661    -0.08372
 0.19760    -0.08585
 0.21951    -0.08755
 0.24231    -0.08880
 0.26594    -0.08962
 0.29035    -0.09000
 0.31551    -0.08994
 0.34135    -0.08947
 0.36782    -0.08860
 0.39488    -0.08733
 0.42246    -0.08568
 0.45050    -0.08367
 0.47895    -0.08133
 0.50774    -0.07867
 0.53680    -0.07571
 0.56607    -0.07248
 0.59547    -0.06901
 0.62492    -0.06530
 0.65434    -0.06140
 0.68365    -0.05732
 0.71275    -0.05308
 0.74154    -0.04872
 0.76991    -0.04426
 0.79774    -0.03972
 0.82489    -0.03515
 0.85123    -0.03057
 0.87658    -0.02603
 0.90075    -0.02158
 0.92350    -0.01727
 0.94455    -0.01318
 0.96352    -0.00940
 0.97989    -0.00607
 0.99280    -0.00340
 1.00000    -0.00189
=======
NACA 0018
 1.00000     0.00189
 0.99280     0.00340
 0.97989     0.00607
 0.96352     0.00940
 0.94455     0.01318
 0.92350     0.01727
 0.90075     0.02158
 0.87658     0.02603
 0.85123     0.03057
 0.82489     0.03515
 0.79774     0.03972
 0.76991     0.04426
 0.74154     0.04872
 0.71275     0.05308
 0.68365     0.05732
 0.65434     0.06140
 0.62492     0.06530
 0.59547     0.06901
 0.56607     0.07248
 0.53680     0.07571
 0.50774     0.07867
 0.47895     0.08133
 0.45050     0.08367
 0.42246     0.08568
 0.39488     0.08733
 0.36782     0.08860
 0.34135     0.08947
 0.31551     0.08994
 0.29035     0.09000
 0.26594     0.08962
 0.24231     0.08880
 0.21951     0.08755
 0.19760     0.08585
 0.17661     0.08372
 0.15660     0.08115
 0.13760     0.07816
 0.11965     0.07475
 0.10280     0.07094
 0.08709     0.06674
 0.07256     0.06218
 0.05924     0.05726
 0.04717     0.05201
 0.03639     0.04644
 0.02694     0.04058
 0.01885     0.03443
 0.01215     0.02803
 0.00688     0.02137
 0.00308     0.01448
 0.00078     0.00735
 0.00000     0.00000
 0.00078    -0.00735
 0.00308    -0.01448
 0.00688    -0.02137
 0.01215    -0.02803
 0.01885    -0.03443
 0.02694    -0.04058
 0.03639    -0.04644
 0.04717    -0.05201
 0.05924    -0.05726
 0.07256    -0.06218
 0.08709    -0.06674
 0.10280    -0.07094
 0.11965    -0.07475
 0.13760    -0.07816
 0.15660    -0.08115
 0.17661    -0.08372
 0.19760    -0.08585
 0.21951    -0.08755
 0.24231    -0.08880
 0.26594    -0.08962
 0.29035    -0.09000
 0.31551    -0.08994
 0.34135    -0.08947
 0.36782    -0.08860
 0.39488    -0.08733
 0.42246    -0.08568
 0.45050    -0.08367
 0.47895    -0.08133
 0.50774    -0.07867
 0.53680    -0.07571
 0.56607    -0.07248
 0.59547    -0.06901
 0.62492    -0.06530
 0.65434    -0.06140
 0.68365    -0.05732
 0.71275    -0.05308
 0.74154    -0.04872
 0.76991    -0.04426
 0.79774    -0.03972
 0.82489    -0.03515
 0.85123    -0.03057
 0.87658    -0.02603
 0.90075    -0.02158
 0.92350    -0.01727
 0.94455    -0.01318
 0.96352    -0.00940
 0.97989    -0.00607
 0.99280    -0.00340
 1.00000    -0.00189
>>>>>>> version-1
